1,290010,BA,"9,132",0.6,0.113037%
2,290020,BA,"18,989",1.2,0.226074%
3,290030,BA,"15,615",1.0,0.188395%
4,290035,BA,"16,929",1.0,0.188395%
5,290040,BA,"16,871",1.0,0.188395%
6,290060,BA,"4,767",0.6,0.113037%
7,290070,BA,"152,570",3.8,0.715901%
8,290080,BA,"23,176",1.2,0.226074%
9,290090,BA,"6,327",0.6,0.113037%
10,290100,BA,"37,081",1.6,0.301432%
11,290110,BA,"26,477",1.4,0.263753%
12,290115,BA,"16,884",1.0,0.188395%
13,290120,BA,"20,698",1.2,0.226074%
14,290130,BA,"14,738",1.0,0.188395%
15,290135,BA,"14,936",1.0,0.188395%
16,290140,BA,"14,762",1.0,0.188395%
17,290150,BA,"11,113",0.8,0.150716%
18,290160,BA,"18,744",1.2,0.226074%
19,290170,BA,"12,206",0.8,0.150716%
20,290180,BA,"11,973",0.8,0.150716%
21,290190,BA,"18,976",1.2,0.226074%
22,290195,BA,"7,795",0.6,0.113037%
23,290205,BA,"12,351",0.8,0.150716%
24,290200,BA,"14,232",1.0,0.188395%
25,290210,BA,"55,655",2.2,0.414469%
26,290220,BA,"11,157",0.8,0.150716%
27,290225,BA,"11,822",0.8,0.150716%
28,290230,BA,"9,146",0.6,0.113037%
29,290240,BA,"13,525",0.8,0.150716%
30,290250,BA,"13,892",1.0,0.188395%
31,290260,BA,"21,174",1.2,0.226074%
32,290265,BA,"12,534",0.8,0.150716%
33,290270,BA,"53,361",2.2,0.414469%
34,290280,BA,"22,409",1.2,0.226074%
35,290290,BA,"35,567",1.6,0.301432%
36,290300,BA,"14,684",1.0,0.188395%
37,290310,BA,"6,261",0.6,0.113037%
38,290320,BA,"150,896",3.8,0.715901%
39,290323,BA,"14,855",1.0,0.188395%
40,290330,BA,"6,767",0.6,0.113037%
41,290327,BA,"15,470",1.0,0.188395%
42,290340,BA,"23,471",1.2,0.226074%
43,290350,BA,"18,539",1.2,0.226074%
44,290360,BA,"15,737",1.0,0.188395%
45,290370,BA,"15,141",1.0,0.188395%
46,290380,BA,"18,888",1.2,0.226074%
47,290390,BA,"68,282",2.4,0.452148%
48,290395,BA,"10,644",0.8,0.150716%
49,290400,BA,"14,742",1.0,0.188395%
50,290405,BA,"16,132",1.0,0.188395%
51,290410,BA,"22,389",1.2,0.226074%
52,290420,BA,"11,162",0.8,0.150716%
53,290430,BA,"14,866",1.0,0.188395%
54,290440,BA,"10,545",0.8,0.150716%
55,290450,BA,"11,301",0.8,0.150716%
56,290460,BA,"68,776",2.4,0.452148%
57,290470,BA,"19,311",1.2,0.226074%
58,290475,BA,"21,115",1.2,0.226074%
59,290480,BA,"10,828",0.8,0.150716%
60,290485,BA,"18,713",1.2,0.226074%
61,290490,BA,"34,244",1.6,0.301432%
62,290500,BA,"23,232",1.2,0.226074%
63,290510,BA,"10,429",0.8,0.150716%
64,290515,BA,"15,842",1.0,0.188395%
65,290520,BA,"52,166",2.2,0.414469%
66,290530,BA,"18,489",1.2,0.226074%
67,290540,BA,"17,168",1.2,0.226074%
68,290550,BA,"13,465",0.8,0.150716%
69,290560,BA,"33,068",1.6,0.301432%
70,290570,BA,"275,575",4.0,0.753580%
71,290580,BA,"37,207",1.6,0.301432%
72,290590,BA,"29,812",1.4,0.263753%
73,290600,BA,"71,507",2.6,0.489827%
74,290610,BA,"10,130",0.6,0.113037%
75,290620,BA,"26,006",1.4,0.263753%
76,290630,BA,"33,570",1.6,0.301432%
77,290640,BA,"9,143",0.6,0.113037%
78,290650,BA,"89,419",2.8,0.527506%
79,290660,BA,"14,527",1.0,0.188395%
80,290670,BA,"27,057",1.4,0.263753%
81,290680,BA,"35,029",1.6,0.301432%
82,290682,BA,"16,956",1.0,0.188395%
83,290685,BA,"12,128",0.8,0.150716%
84,290687,BA,"28,853",1.4,0.263753%
85,290689,BA,"10,292",0.8,0.150716%
86,290690,BA,"22,328",1.2,0.226074%
87,290700,BA,"9,611",0.6,0.113037%
88,290710,BA,"29,768",1.4,0.263753%
89,290720,BA,"70,796",2.4,0.452148%
90,290730,BA,"27,097",1.4,0.263753%
91,290740,BA,"3,420",0.6,0.113037%
92,290750,BA,"55,021",2.2,0.414469%
93,290755,BA,"9,760",0.6,0.113037%
94,290760,BA,"18,061",1.2,0.226074%
95,290770,BA,"11,444",0.8,0.150716%
96,290780,BA,"34,424",1.6,0.301432%
97,290790,BA,"16,860",1.0,0.188395%
98,290800,BA,"20,620",1.2,0.226074%
99,290810,BA,"19,281",1.2,0.226074%
100,290820,BA,"22,226",1.2,0.226074%
101,290830,BA,"18,644",1.2,0.226074%
102,290840,BA,"67,126",2.4,0.452148%
103,290850,BA,"32,761",1.6,0.301432%
104,290860,BA,"25,714",1.4,0.263753%
105,290870,BA,"18,359",1.2,0.226074%
106,290880,BA,"4,354",0.6,0.113037%
107,290890,BA,"23,314",1.2,0.226074%
108,290900,BA,"8,752",0.6,0.113037%
109,290910,BA,"15,024",1.0,0.188395%
110,290920,BA,"17,422",1.2,0.226074%
111,290930,BA,"32,980",1.6,0.301432%
112,290940,BA,"14,390",1.0,0.188395%
113,290950,BA,"5,341",0.6,0.113037%
114,290960,BA,"21,435",1.2,0.226074%
115,290970,BA,"14,189",1.0,0.188395%
116,290980,BA,"63,299",2.4,0.452148%
117,290990,BA,"34,725",1.6,0.301432%
118,291000,BA,"12,721",0.8,0.150716%
119,291005,BA,"75,103",2.6,0.489827%
120,291010,BA,"12,379",0.8,0.150716%
121,291020,BA,"4,127",0.6,0.113037%
122,291030,BA,"8,426",0.6,0.113037%
123,291040,BA,"21,418",1.2,0.226074%
124,291050,BA,"42,640",1.8,0.339111%
125,290050,BA,"11,509",0.8,0.150716%
126,291060,BA,"35,930",1.6,0.301432%
127,291070,BA,"60,558",2.2,0.414469%
128,291072,BA,"110,803",3.2,0.602831%
129,291075,BA,"18,524",1.2,0.226074%
130,291077,BA,"5,908",0.6,0.113037%
131,291080,BA,"606,139",4.0,0.753580%
132,291085,BA,"17,603",1.2,0.226074%
133,291090,BA,"5,744",0.6,0.113037%
134,291100,BA,"11,392",0.8,0.150716%
135,291110,BA,"24,799",1.4,0.263753%
136,291120,BA,"32,814",1.6,0.301432%
137,291125,BA,"4,747",0.6,0.113037%
138,291130,BA,"11,338",0.8,0.150716%
139,291140,BA,"16,003",1.0,0.188395%
140,291150,BA,"8,325",0.6,0.113037%
141,291160,BA,"21,125",1.2,0.226074%
142,291165,BA,"9,388",0.6,0.113037%
143,291170,BA,"84,645",2.8,0.527506%
144,291180,BA,"22,583",1.2,0.226074%
145,291185,BA,"13,812",1.0,0.188395%
146,291190,BA,"26,591",1.4,0.263753%
147,291200,BA,"10,866",0.8,0.150716%
148,291210,BA,"24,595",1.4,0.263753%
149,291220,BA,"19,071",1.2,0.226074%
150,291230,BA,"16,582",1.0,0.188395%
151,291240,BA,"18,398",1.2,0.226074%
152,291250,BA,"15,162",1.0,0.188395%
153,291260,BA,"5,158",0.6,0.113037%
154,291270,BA,"24,059",1.4,0.263753%
155,291280,BA,"8,603",0.6,0.113037%
156,291290,BA,"18,546",1.2,0.226074%
157,291300,BA,"16,647",1.0,0.188395%
158,291310,BA,"18,752",1.2,0.226074%
159,291320,BA,"27,285",1.4,0.263753%
160,291330,BA,"6,265",0.6,0.113037%
161,291340,BA,"16,159",1.0,0.188395%
162,291345,BA,"13,636",1.0,0.188395%
163,291350,BA,"27,615",1.4,0.263753%
164,291360,BA,"184,616",4.0,0.753580%
165,291370,BA,"39,938",1.8,0.339111%
166,291380,BA,"15,753",1.0,0.188395%
167,291390,BA,"47,178",2.0,0.376790%
168,291400,BA,"62,253",2.4,0.452148%
169,291410,BA,"9,992",0.6,0.113037%
170,291420,BA,"7,471",0.6,0.113037%
171,291430,BA,"11,412",0.8,0.150716%
172,291440,BA,"24,882",1.4,0.263753%
173,291450,BA,"29,579",1.4,0.263753%
174,291460,BA,"72,041",2.6,0.489827%
175,291465,BA,"30,636",1.6,0.301432%
176,291470,BA,"65,806",2.4,0.452148%
177,291480,BA,"218,124",4.0,0.753580%
178,291490,BA,"26,753",1.4,0.263753%
179,291500,BA,"15,996",1.0,0.188395%
180,291510,BA,"13,433",0.8,0.150716%
181,291520,BA,"15,829",1.0,0.188395%
182,291530,BA,"7,420",0.6,0.113037%
183,291535,BA,"14,392",1.0,0.188395%
184,291540,BA,"7,507",0.6,0.113037%
185,291550,BA,"21,884",1.2,0.226074%
186,291560,BA,"67,128",2.4,0.452148%
187,291570,BA,"8,259",0.6,0.113037%
188,291580,BA,"23,723",1.2,0.226074%
189,291590,BA,"8,023",0.6,0.113037%
190,291600,BA,"20,735",1.2,0.226074%
191,291610,BA,"22,329",1.2,0.226074%
192,291620,BA,"10,682",0.8,0.150716%
193,291630,BA,"10,942",0.8,0.150716%
194,291640,BA,"74,652",2.6,0.489827%
195,291650,BA,"35,255",1.6,0.301432%
196,291660,BA,"10,799",0.8,0.150716%
197,291670,BA,"8,231",0.6,0.113037%
198,291680,BA,"19,837",1.2,0.226074%
199,291685,BA,"14,700",1.0,0.188395%
200,291690,BA,"13,267",0.8,0.150716%
201,291700,BA,"38,330",1.8,0.339111%
202,291710,BA,"21,106",1.2,0.226074%
203,291720,BA,"19,211",1.2,0.226074%
204,291730,BA,"28,639",1.4,0.263753%
205,291733,BA,"11,253",0.8,0.150716%
206,291735,BA,"9,417",0.6,0.113037%
207,291740,BA,"15,350",1.0,0.188395%
208,291750,BA,"84,328",2.8,0.527506%
209,291760,BA,"54,902",2.2,0.414469%
210,291770,BA,"32,740",1.6,0.301432%
211,291780,BA,"18,114",1.2,0.226074%
212,291790,BA,"10,997",0.8,0.150716%
213,291800,BA,"161,391",4.0,0.753580%
214,291810,BA,"40,587",1.8,0.339111%
215,291820,BA,"14,936",1.0,0.188395%
216,291830,BA,"13,667",1.0,0.188395%
217,291835,BA,"24,633",1.4,0.263753%
218,291840,BA,"214,748",4.0,0.753580%
219,291845,BA,"10,403",0.8,0.150716%
220,291850,BA,"15,848",1.0,0.188395%
221,291855,BA,"6,493",0.6,0.113037%
222,291860,BA,"7,741",0.6,0.113037%
223,291870,BA,"4,017",0.6,0.113037%
224,291875,BA,"15,542",1.0,0.188395%
225,291880,BA,"24,207",1.4,0.263753%
226,291890,BA,"3,971",0.6,0.113037%
227,291900,BA,"4,079",0.6,0.113037%
228,291905,BA,"8,847",0.6,0.113037%
229,291910,BA,"9,673",0.6,0.113037%
230,291915,BA,"27,338",1.4,0.263753%
231,291920,BA,"184,383",4.0,0.753580%
232,291930,BA,"11,300",0.8,0.150716%
233,291940,BA,"12,962",0.8,0.150716%
234,291950,BA,"45,236",2.0,0.376790%
235,291955,BA,"73,061",2.6,0.489827%
236,291960,BA,"11,835",0.8,0.150716%
237,291970,BA,"18,419",1.2,0.226074%
238,291980,BA,"49,436",2.0,0.376790%
239,291990,BA,"8,417",0.6,0.113037%
240,291992,BA,"19,600",1.2,0.226074%
241,291995,BA,"5,972",0.6,0.113037%
242,292000,BA,"9,864",0.6,0.113037%
243,292010,BA,"20,194",1.2,0.226074%
244,292020,BA,"17,375",1.2,0.226074%
245,292030,BA,"8,942",0.6,0.113037%
246,292040,BA,"14,600",1.0,0.188395%
247,292045,BA,"13,598",1.0,0.188395%
248,292050,BA,"24,491",1.4,0.263753%
249,292060,BA,"45,740",2.0,0.376790%
250,292070,BA,"21,016",1.2,0.226074%
251,292080,BA,"11,026",0.8,0.150716%
252,292090,BA,"15,221",1.0,0.188395%
253,292100,BA,"44,538",2.0,0.376790%
254,292105,BA,"12,114",0.8,0.150716%
255,292110,BA,"23,358",1.2,0.226074%
256,292120,BA,"27,569",1.4,0.263753%
257,292130,BA,"11,569",0.8,0.150716%
258,292140,BA,"17,714",1.2,0.226074%
259,292145,BA,"10,270",0.8,0.150716%
260,292150,BA,"54,884",2.2,0.414469%
261,292160,BA,"8,987",0.6,0.113037%
262,292170,BA,"37,326",1.6,0.301432%
263,292180,BA,"12,421",0.8,0.150716%
264,292190,BA,"10,568",0.8,0.150716%
265,292200,BA,"39,927",1.8,0.339111%
266,292205,BA,"12,191",0.8,0.150716%
267,292210,BA,"26,518",1.4,0.263753%
268,292220,BA,"7,825",0.6,0.113037%
269,292225,BA,"11,465",0.8,0.150716%
270,292230,BA,"30,635",1.6,0.301432%
271,292240,BA,"22,928",1.2,0.226074%
272,292250,BA,"29,122",1.4,0.263753%
273,292260,BA,"13,555",0.8,0.150716%
274,292265,BA,"13,216",0.8,0.150716%
275,292270,BA,"17,013",1.2,0.226074%
276,292273,BA,"8,083",0.6,0.113037%
277,292275,BA,"6,913",0.6,0.113037%
278,292280,BA,"8,058",0.6,0.113037%
279,292285,BA,"8,527",0.6,0.113037%
280,292290,BA,"25,725",1.4,0.263753%
281,292300,BA,"42,265",1.8,0.339111%
282,292303,BA,"11,786",0.8,0.150716%
283,292305,BA,"15,943",1.0,0.188395%
284,292310,BA,"26,620",1.4,0.263753%
285,292320,BA,"22,738",1.2,0.226074%
286,292330,BA,"8,804",0.6,0.113037%
287,292335,BA,"17,603",1.2,0.226074%
288,292340,BA,"22,260",1.2,0.226074%
289,292350,BA,"9,122",0.6,0.113037%
290,292360,BA,"21,838",1.2,0.226074%
291,292370,BA,"32,258",1.6,0.301432%
292,292380,BA,"29,654",1.4,0.263753%
293,292390,BA,"11,166",0.8,0.150716%
294,292400,BA,"117,377",3.4,0.640510%
295,292405,BA,"14,478",1.0,0.188395%
296,292410,BA,"7,450",0.6,0.113037%
297,292420,BA,"18,051",1.2,0.226074%
298,292430,BA,"18,421",1.2,0.226074%
299,292440,BA,"35,237",1.6,0.301432%
300,292450,BA,"16,708",1.0,0.188395%
301,292460,BA,"21,113",1.2,0.226074%
302,292465,BA,"10,798",0.8,0.150716%
303,292467,BA,"10,415",0.8,0.150716%
304,292470,BA,"12,678",0.8,0.150716%
305,292480,BA,"24,462",1.4,0.263753%
306,292490,BA,"9,516",0.6,0.113037%
307,292500,BA,"26,225",1.4,0.263753%
308,292510,BA,"48,576",2.0,0.376790%
309,292520,BA,"36,551",1.6,0.301432%
310,292525,BA,"16,321",1.0,0.188395%
311,292530,BA,"141,006",3.6,0.678222%
312,292540,BA,"9,574",0.6,0.113037%
313,292550,BA,"29,095",1.4,0.263753%
314,292560,BA,"14,629",1.0,0.188395%
315,292570,BA,"13,442",0.8,0.150716%
316,292575,BA,"26,238",1.4,0.263753%
317,292580,BA,"26,023",1.4,0.263753%
318,292590,BA,"28,996",1.4,0.263753%
319,292593,BA,"10,045",0.6,0.113037%
320,292595,BA,"24,258",1.4,0.263753%
321,292600,BA,"41,824",1.8,0.339111%
322,292610,BA,"13,092",0.8,0.150716%
323,292620,BA,"23,209",1.2,0.226074%
324,292630,BA,"35,237",1.6,0.301432%
325,292640,BA,"35,586",1.6,0.301432%
326,292650,BA,"15,186",1.0,0.188395%
327,292660,BA,"50,805",2.0,0.376790%
328,292665,BA,"9,195",0.6,0.113037%
329,292670,BA,"13,592",1.0,0.188395%
330,292680,BA,"15,427",1.0,0.188395%
331,292690,BA,"12,033",0.8,0.150716%
332,292700,BA,"40,203",1.8,0.339111%
333,292710,BA,"8,632",0.6,0.113037%
334,292720,BA,"31,799",1.6,0.301432%
335,292730,BA,"14,937",1.0,0.188395%
336,292750,BA,"20,509",1.2,0.226074%
337,292760,BA,"15,381",1.0,0.188395%
338,292770,BA,"27,854",1.4,0.263753%
339,292780,BA,"6,808",0.6,0.113037%
340,292790,BA,"10,884",0.8,0.150716%
341,292805,BA,"13,710",1.0,0.188395%
342,292810,BA,"41,824",1.8,0.339111%
343,292840,BA,"28,349",1.4,0.263753%
344,292850,BA,"10,423",0.8,0.150716%
345,292800,BA,"36,452",1.6,0.301432%
346,292820,BA,"26,998",1.4,0.263753%
347,292830,BA,"9,370",0.6,0.113037%
348,292860,BA,"61,407",2.4,0.452148%
349,292870,BA,"99,407",3.0,0.565185%
350,292880,BA,"52,186",2.2,0.414469%
351,292890,BA,"31,785",1.6,0.301432%
352,292895,BA,"9,820",0.6,0.113037%
353,292910,BA,"21,513",1.2,0.226074%
354,292900,BA,"15,004",1.0,0.188395%
355,292905,BA,"15,443",1.0,0.188395%
356,292920,BA,"36,677",1.6,0.301432%
357,292925,BA,"19,495",1.2,0.226074%
358,292930,BA,"36,641",1.6,0.301432%
359,292935,BA,"6,202",0.6,0.113037%
360,292937,BA,"10,938",0.8,0.150716%
361,292940,BA,"11,105",0.8,0.150716%
362,292950,BA,"45,090",2.0,0.376790%
363,292960,BA,"17,594",1.2,0.226074%
364,292970,BA,"20,195",1.2,0.226074%
365,292975,BA,"12,078",0.8,0.150716%
366,292980,BA,"12,644",0.8,0.150716%
367,292990,BA,"44,765",2.0,0.376790%
368,293000,BA,"11,336",0.8,0.150716%
369,293010,BA,"80,258",2.6,0.489827%
370,293020,BA,"40,720",1.8,0.339111%
371,293015,BA,"33,034",1.6,0.301432%
372,293030,BA,"18,467",1.2,0.226074%
373,293040,BA,"15,672",1.0,0.188395%
374,293050,BA,"82,157",2.8,0.527506%
375,293060,BA,"13,238",0.8,0.150716%
376,293070,BA,"129,964",3.6,0.678222%
377,293075,BA,"13,188",0.8,0.150716%
378,293076,BA,"12,317",0.8,0.150716%
379,293077,BA,"23,435",1.2,0.226074%
380,293080,BA,"17,073",1.2,0.226074%
381,293090,BA,"12,990",0.8,0.150716%
382,293100,BA,"21,246",1.2,0.226074%
383,293105,BA,"17,493",1.2,0.226074%
384,293110,BA,"8,510",0.6,0.113037%
385,293120,BA,"20,474",1.2,0.226074%
386,293130,BA,"17,345",1.2,0.226074%
387,293135,BA,"153,385",3.8,0.715901%
388,293140,BA,"8,125",0.6,0.113037%
389,293150,BA,"22,873",1.2,0.226074%
390,293160,BA,"15,016",1.0,0.188395%
391,293170,BA,"13,526",0.8,0.150716%
392,293180,BA,"18,560",1.2,0.226074%
393,293190,BA,"55,923",2.2,0.414469%
394,293200,BA,"25,274",1.4,0.263753%
395,293210,BA,"21,897",1.2,0.226074%
396,293220,BA,"21,183",1.2,0.226074%
397,293230,BA,"27,312",1.4,0.263753%
398,293240,BA,"14,436",1.0,0.188395%
399,293245,BA,"18,635",1.2,0.226074%
400,293250,BA,"22,989",1.2,0.226074%
401,293260,BA,"17,239",1.2,0.226074%
402,293270,BA,"22,004",1.2,0.226074%
403,293280,BA,"19,516",1.2,0.226074%
404,293290,BA,"96,287",3.0,0.565185%
405,293300,BA,"27,162",1.4,0.263753%
406,293305,BA,"14,654",1.0,0.188395%
407,293310,BA,"9,309",0.6,0.113037%
408,293315,BA,"13,581",0.8,0.150716%
409,293317,BA,"9,449",0.6,0.113037%
410,293320,BA,"41,524",1.8,0.339111%
411,293325,BA,"6,781",0.6,0.113037%
412,293330,BA,"336,987",4.0,0.753580%
413,293340,BA,"9,504",0.6,0.113037%
414,293345,BA,"13,089",0.8,0.150716%
415,293350,BA,"23,046",1.2,0.226074%
416,293360,BA,"48,100",2.0,0.376790%
